epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,88.114,1.85023,6.53956,1.05688,5e-05,0.1,3e-05,3e-05,2.24296,9.90421,1.085,0.00021671,0.00021671,0.00021671
2,175.556,1.48709,3.82771,0.95754,8e-05,0.01408,5e-05,1e-05,2.28104,8.54845,1.11951,0.000445634,0.000445634,0.000445634
3,263.379,1.59976,3.59747,0.97509,0,0,0,0,2.48488,8.99982,1.14588,0.000669937,0.000669937,0.000669937
4,351.548,1.55303,3.11283,0.98682,0,0,0,0,2.58011,9.69889,1.26833,0.00088962,0.00088962,0.00088962
5,439.709,1.49123,2.67671,0.95593,0,0,0,0,2.65346,8.65742,1.22582,0.00110468,0.00110468,0.00110468
6,532.985,1.68304,2.72666,1.00898,0,0,0,0,2.6456,7.71665,1.24626,0.00131512,0.00131512,0.00131512
7,658.775,1.73261,2.74978,1.03869,0.00016,0.3,0.00797,0.00388,2.55742,7.99885,1.20666,0.00152094,0.00152094,0.00152094
8,741.929,1.6625,2.51499,0.99339,0.75764,0.3,0.34173,0.1205,2.3627,7.48541,1.10114,0.00155148,0.00155148,0.00155148
9,824.952,1.57764,2.0883,0.99819,0.7345,0.3,0.2624,0.08857,2.23337,6.88727,1.11508,0.00153497,0.00153497,0.00153497
10,906.913,1.56742,1.95635,0.9933,0.61881,0.1,0.07006,0.03638,2.37707,6.69226,1.11504,0.00151847,0.00151847,0.00151847
11,990.064,1.46032,1.74409,0.9327,0.00886,0.3,0.02367,0.01632,2.45635,7.01249,1.17861,0.00150197,0.00150197,0.00150197
12,1075.59,1.46395,1.77871,0.96209,0.8195,0.2,0.22299,0.13297,2.4358,6.28496,1.17627,0.00148546,0.00148546,0.00148546
13,1158.23,1.44546,1.70232,0.9382,0.715,0.4,0.20089,0.08839,2.42416,6.38739,1.15698,0.00146896,0.00146896,0.00146896
14,1239.48,1.55224,1.62653,0.96274,0.64367,0.3,0.20418,0.13052,2.4326,6.11454,1.13589,0.00145246,0.00145246,0.00145246
15,1321.12,1.49194,1.47375,0.94157,0.80636,0.4,0.38798,0.20658,2.53822,6.20855,1.19716,0.00143595,0.00143595,0.00143595
16,1405.48,1.43387,1.29053,0.97298,0.89279,0.37117,0.38693,0.19685,2.8363,5.84446,1.2567,0.00141945,0.00141945,0.00141945
17,1486.64,1.42125,1.26636,0.93112,0.83835,0.3,0.25952,0.14261,2.5604,5.31536,1.23464,0.00140295,0.00140295,0.00140295
18,1568.09,1.40503,1.15241,0.93059,0.9371,0.3,0.39036,0.14751,2.65442,5.55685,1.24792,0.00138644,0.00138644,0.00138644
19,1650.19,1.42396,1.26282,0.94929,0.84577,0.3,0.34435,0.17113,2.45013,5.31057,1.22027,0.00136994,0.00136994,0.00136994
20,1732.43,1.33553,1.05508,0.93834,0.71226,0.3,0.21334,0.13231,2.55184,5.06938,1.22699,0.00135344,0.00135344,0.00135344
21,1814.26,1.51919,1.21144,0.96251,0.93894,0.2,0.30955,0.16923,2.60164,4.92279,1.29308,0.00133693,0.00133693,0.00133693
22,1896.14,1.48661,1.03687,0.9677,0.76676,0.3,0.43263,0.20845,2.29608,4.69611,1.20114,0.00132043,0.00132043,0.00132043
23,1979.51,1.35412,1.02832,0.95119,0.72166,0.4,0.47319,0.24213,2.34753,4.42653,1.17907,0.00130393,0.00130393,0.00130393
24,2068.44,1.30686,1.01331,0.9106,0.70173,0.3,0.38952,0.18739,2.20896,4.1007,1.16891,0.00128742,0.00128742,0.00128742
25,2158.17,1.33646,0.98264,0.93579,0.65173,0.4,0.3777,0.19847,2.36693,4.19274,1.18155,0.00127092,0.00127092,0.00127092
26,2247.42,1.41837,0.94097,0.95184,0.6432,0.3,0.41691,0.21162,2.27303,4.00288,1.17063,0.00125442,0.00125442,0.00125442
